"","Non RRT (n=     1124 )","RRT (n=       93 )","p-value"
"""los_hos (mean (sd))""","  365.03 (293.35)","  675.44 (527.69)","<0.001"
"""los_icu (mean (sd))""","  207.88 (216.71)","  465.47 (421.29)","<0.001"
"""hospital_expire_flag = 1 (%)""","     210 (18.7) ","      37 (39.8) ","<0.001"
"""add_drug_therapy = 1 (%)""","     524 (46.6) ","      37 (39.8) "," 0.245"
"""change_drug_therapy (mean (sd))""","    0.14 (0.35)","    0.09 (0.28)"," 0.125"
"""fluid_overload_to_rrt (mean (sd))"""," 3817.32 (11761.61)"," 9117.04 (12311.12)","<0.001"
"""daily_fluid_overload_to_rrt (mean (sd))""","  842.78 (2721.75)"," 1976.48 (4131.94)","<0.001"
"""urine_output_to_rrt (mean (sd))"""," 5051.15 (7145.66)","10612.53 (18342.06)","<0.001"
"""daily_uo_to_rrt (mean (sd))"""," 1636.74 (1298.75)","  974.25 (884.61)","<0.001"
"""total_input_to_discharge (mean (sd))""","27478.78 (39426.81)","49305.14 (42549.91)","<0.001"
"""total_output_to_discharge (mean (sd))""","19813.67 (22669.53)","38585.34 (35196.25)","<0.001"
"""fluid_overload_to_dis (mean (sd))"""," 7791.45 (29412.27)","10719.80 (20891.41)"," 0.354"
"""urine_output_to_dis (mean (sd))""","17864.05 (20817.85)","17497.71 (23006.66)"," 0.874"
