,coef(95%CI),p value
(Intercept),"708309177.63 ( 3.73 , 125669825004832144 )",0.0354
rrt,"1.34 ( 0.66 , 2.72 )",0.4216
age,"1.02 ( 1.01 , 1.04 )",0.0013
gender = Male,"1.55 ( 0.91 , 2.63 )",0.1084
add drug therapy,"1.65 ( 1.11 , 2.45 )",0.0127
change drug therapy,"0.36 ( 0.16 , 0.77 )",0.0118
height,"0.98 ( 0.95 , 1 )",0.0552
weight at admission,"0 ( 0 , 0 )",0.3674
weight after DR,"1.25 ( 0.71 , NA )",0.977
weight before dialysis,"2680.97 ( 0.2 , 27970664.88 )",0.0983
weight gain before dialysis,"0 ( 0 , 4.82 )",0.0977
BBR,"0.18 ( 0.1 , 0.32 )",< 0.0001
inotropes vasopressor,"3.14 ( 1.89 , 5.39 )",< 0.0001
ACEI,"0.28 ( 0.17 , 0.44 )",< 0.0001
MRA,"0.63 ( 0.32 , 1.15 )",0.1458
vasodilator ,"0.53 ( 0.35 , 0.79 )",0.0021
alcohol abuse,"1.99 ( 0.82 , 4.57 )",0.1128
daily  urine output before dialysis,"1 ( 1 , 1 )",0.0053
HR before dialysis,"1.01 ( 1 , 1.02 )",0.0921
HR at admission,"1.01 ( 1 , 1.02 )",0.0273
SPO2 at admission,"1.05 ( 1.02 , 1.08 )",0.0027
temperature before dialysis,"0.94 ( 0.87 , 1.01 )",0.0909
BUN before dialysis,"1.02 ( 1.01 , 1.03 )",8.00E-04
BUN at admission,"0.99 ( 0.98 , 1 )",0.0431
creatinine before dialysis,"0.67 ( 0.52 , 0.84 )",8.00E-04
sodium before dialysis,"1.04 ( 1 , 1.08 )",0.0722
sodium at admission,"0.96 ( 0.92 , 1 )",0.0394
potassium before dialysis,"1.3 ( 0.94 , 1.79 )",0.109
HCO3 before dialysis,"0.91 ( 0.87 , 0.95 )",< 0.0001
PH after DR,"0.07 ( 0.01 , 0.8 )",0.031
albumin after DR,"0.69 ( 0.5 , 0.95 )",0.0252
